0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2001-12-31,8.415296106,15.27256498,353.7782823,16.97947464,353.7782823,13.94848329,26.92050015,89.64033413,7.131736259,26.88858376,17.88905241,23.88988231,6.276770268,1.407227617,6.190980021,33.12898408,42.39582443,26.04816682,20.72591964,13.77328319,22.74414656,10.45640731,1.407227617,89.64033413,5.203477831,17.17657975,38.59768724,6.942528931,20.2710516,16.97947464,15.27256498,12.61207472,22.28433445,38.59768724,16.03561833
2002-01-31,8.231320541,14.17125595,333.3140869,17.25809536,333.3140869,14.96937584,28.42688193,79.95449445,7.676859235,24.05200951,18.16829183,22.14344131,6.369216258,1.588432269,5.78856632,34.08155294,44.1859522,25.88246601,20.2613902,14.24480099,21.50431648,10.24461426,1.588432269,79.95449445,5.461665662,16.64628696,37.5592723,7.433356715,19.94999859,17.25809536,14.17125595,11.92725618,23.30208824,37.5592723,18.32642094
2002-02-28,8.513627874,15.35030445,318.1954099,18.84787242,318.1954099,15.1339454,32.03710208,72.80966981,6.985907183,24.91612182,18.32809968,23.05471319,6.262618496,1.394376224,5.717888004,34.36051954,45.68140874,27.53815886,20.46894591,14.30083706,18.47287098,9.963389556,1.394376224,72.80966981,6.603892208,18.37779214,39.89819346,7.40007595,20.1436879,18.84787242,15.35030445,10.05989915,22.97751913,39.89819346,20.23961873
2002-03-31,9.327609092,16.99837359,348.2218055,18.91343024,348.2218055,15.9406589,33.63338066,77.17290726,6.253233924,21.46497389,18.8267318,22.3960071,7.035452268,1.520962452,5.988188164,35.14278902,45.21197409,29.22512113,22.74460721,14.66467461,22.51479831,11.04141759,1.520962452,77.17290726,6.832026666,18.82142827,42.5515216,7.938441264,19.84239342,18.91343024,16.99837359,12.47330765,22.29313013,42.5515216,23.26373506
2002-04-30,9.199614456,18.05548638,304.4831216,18.99537751,304.4831216,16.50535836,31.08909384,62.15387223,5.960440362,15.38114568,19.58141826,18.89288834,7.544143854,1.559516633,6.042248196,35.41574272,41.19968797,26.7846935,22.66462617,14.85669998,22.38272456,10.7133221,1.559516633,62.15387223,6.800007795,18.19838044,41.837416,7.993256641,17.41451751,18.99537751,18.05548638,12.27501156,20.39142627,41.837416,23.95265752
2002-05-31,9.554799571,18.07174965,304.8551966,18.77411988,304.8551966,17.00011357,29.84326443,59.80630314,6.654082252,16.62018242,19.90944772,18.64737062,7.160160484,1.497187374,5.746580399,35.47033346,39.9015954,26.78024658,23.39445313,15.09606168,22.92475636,11.89045984,1.497187374,59.80630314,7.424375786,17.41540362,40.32704978,8.340825288,18.66926584,18.77411988,18.07174965,8.421266174,19.4788702,40.32704978,26.22106072
2002-06-30,9.677284525,18.28173455,273.5789455,15.4880343,273.5789455,16.24094819,31.4876178,53.52459697,5.350072595,13.72553625,18.99062011,17.50197309,7.11498597,1.138633488,5.683707528,32.98572572,40.62577223,27.44421963,22.58042186,15.24517128,21.6302569,10.77888711,1.138633488,53.52459697,6.424261784,16.30924062,34.35194167,8.566468874,17.43188427,15.4880343,18.28173455,8.366807662,19.70405945,34.35194167,22.1420536
2002-07-31,8.74150176,16.3033897,236.795815,14.52925122,236.795815,16.50049191,29.05257536,52.33516148,4.954419321,12.65679703,19.49097178,19.3997774,7.455795845,0.980561344,5.080127968,29.38603864,36.3202232,24.65419144,20.71895339,16.1963877,16.08988769,9.14184363,0.980561344,52.33516148,5.319965844,15.01535147,34.83836411,8.74818185,14.47066604,14.52925122,16.3033897,4.980478407,18.21218067,34.83836411,20.51903182
2002-08-31,9.583706249,16.64943682,248.819566,12.84933216,248.819566,17.02703057,26.0601092,56.15880021,4.702321659,13.47789525,18.74652092,18.1646984,7.644491912,0.94779029,5.234808833,27.06608822,39.49584255,23.92707973,21.70532934,16.59463291,17.01815044,7.988084597,0.94779029,56.15880021,6.126021275,14.65928274,35.83175524,8.74811078,13.59365598,12.84933216,16.64943682,5.954392771,18.69629333,35.83175524,23.98372079
2002-09-30,9.235928342,15.71827964,225.2671796,12.40681689,225.2671796,15.71223974,23.99329719,43.44149164,4.104043735,12.85666962,18.52998455,14.95007897,7.322327894,0.931726048,4.796988457,25.38714611,36.41468754,21.53099699,20.86041625,16.20263371,12.24146503,6.651081483,0.931726048,43.44149164,5.250217225,12.50271548,35.68000964,8.666733005,12.03257806,12.40681689,15.71827964,5.029828831,16.40164548,35.68000964,23.15872794
2002-10-31,9.284744031,15.23322848,282.0968088,13.68519433,282.0968088,16.46587915,20.9141691,58.81103328,5.556460241,13.45516171,19.61266639,15.31397542,6.774480806,1.032609489,4.420505236,30.29967912,39.602082,22.71891407,23.11047098,16.33852676,13.62520526,5.809838485,1.032609489,58.81103328,6.58005536,13.8410802,38.76110514,8.788799667,16.75482494,13.68519433,15.23322848,3.557561251,17.95590203,38.76110514,20.8100238
2002-11-30,9.063446241,15.02470564,296.8315,16.24194919,296.8315,15.16281927,24.06657045,64.87533214,6.850623132,14.48849188,18.5639155,16.44811934,7.286205274,0.995983017,4.280875046,29.18662968,39.86091913,23.64504025,22.72093986,16.41606674,16.52753814,7.815125527,0.995983017,64.87533214,8.750046279,16.90746394,37.74792779,9.036963151,18.58294672,16.24194919,15.02470564,3.936740693,17.8913202,37.74792779,19.70722723
2002-12-31,9.34161291,14.43214494,268.6599919,13.53207541,268.6599919,15.3793841,23.3173615,57.84443443,6.130846165,12.81001376,19.99765689,14.88173176,7.680561745,0.920802363,4.556991487,29.10831951,37.4095048,23.74016398,24.04966695,17.21296318,15.75927356,6.386701881,0.920802363,57.84443443,7.660896859,15.49116736,35.55666787,7.940254386,17.19410663,13.53207541,14.43214494,4.374156326,17.34657972,35.55666787,24.46990995
2003-01-31,9.59116039,13.31944764,264.0109497,14.51939422,264.0109497,15.54344836,22.32784025,58.36690029,6.148504132,13.05348703,18.64330834,14.14222886,7.639470358,0.922730072,4.473514423,27.9086872,35.40238229,23.20339438,21.72763014,16.83045289,15.53072073,6.322847295,0.922730072,58.36690029,7.681369592,15.01196742,35.49046666,7.637571059,17.14540818,14.51939422,13.31944764,3.586808187,17.31228187,35.49046666,24.40247651
2003-02-28,9.817723234,13.24043954,256.0245801,14.15433516,256.0245801,14.97913245,19.58740472,58.29289786,5.59757556,12.89301601,18.47646267,14.81788299,7.438808848,0.964497102,4.995288998,26.41948848,35.59494755,23.27324626,21.47884049,17.37498095,15.09154868,5.774543303,0.964497102,58.29289786,8.295551596,16.04280284,34.86126039,7.498011047,15.48819788,14.15433516,13.24043954,2.392920813,17.00435591,34.86126039,23.03694933
2003-03-31,9.922257861,13.40308097,264.5484938,14.12114798,264.5484938,14.86022424,17.81060821,58.65185348,5.518416186,11.69225014,18.22537228,15.71126886,7.634692703,0.908593539,5.185668137,27.68739272,38.60064651,23.90946375,20.29687929,17.79625808,15.77692324,5.219298755,0.908593539,58.65185348,8.54120489,16.79374255,38.4637014,7.073795429,15.83307678,14.12114798,13.40308097,3.687943275,17.76846848,38.4637014,22.07516825
2003-04-30,9.885827675,13.37659267,301.4086613,15.48182263,301.4086613,15.94030722,19.38840351,63.49027618,5.784577738,14.31263026,18.41487446,18.14497522,8.109797489,0.913734097,4.92606022,29.95775892,41.78336366,24.08048996,21.17387252,17.82326302,19.79429043,7.218179129,0.913734097,63.49027618,8.821379484,18.07651876,37.46006931,7.89465265,16.92924574,15.48182263,13.37659267,4.132588918,17.53467284,37.46006931,22.80960024
2003-05-31,11.17413152,15.08839921,316.616237,16.30320551,316.616237,16.05375077,21.92339627,65.95997343,6.920200361,14.3462543,20.66130732,17.68287907,8.309019596,1.15341259,5.619949746,30.59456895,39.03094393,25.07692615,22.75456092,18.6361656,22.16151222,7.358337947,1.15341259,65.95997343,9.834952278,17.92187174,36.27881582,8.503312059,17.14210678,16.30320551,15.08839921,5.051294373,17.76853029,36.27881582,25.03822143
2003-06-30,11.19770107,15.43876219,330.3553131,16.38617347,330.3553131,16.75173994,24.53247343,61.80937991,7.58727242,15.21487516,20.80068343,17.78573338,8.367328506,1.224737826,5.755370222,30.91314846,39.88222215,24.73935215,20.55275198,19.18461074,23.05174947,7.701727051,1.224737826,61.80937991,9.527442497,19.12811852,34.50993151,9.184270994,17.86674009,16.38617347,15.43876219,4.310790486,19.56142197,34.50993151,27.43802512
2003-07-31,10.91066611,14.95973143,348.493981,18.18657836,348.493981,16.79494879,23.67469463,60.87287416,7.540965124,14.83374918,19.08491541,17.63689879,8.897726574,1.354536903,5.622133947,32.00379212,41.54676804,24.51200639,18.99427466,19.95243392,23.87343066,7.823559939,1.354536903,60.87287416,9.183626094,23.31446424,34.57000683,9.685231231,16.00581512,18.18657836,14.95973143,4.268475978,19.10890298,34.57000683,30.51487082
2003-08-31,11.45803511,14.47737407,337.2146,17.00843323,337.2146,16.81540018,26.86727815,61.56553941,7.099264758,14.36382506,19.26478335,18.33766165,9.040840312,1.452850065,6.147996327,30.94093556,43.96927678,26.15032728,18.56875185,19.63835253,23.30809692,8.177247098,1.452850065,61.56553941,10.01624172,24.82107553,33.25041188,9.291899914,16.152154,17.00843323,14.47737407,4.545524786,17.21989703,33.25041188,33.21979011
2003-09-30,11.84480621,14.36176865,354.0169883,16.73463894,354.0169883,17.27150198,24.66845839,66.31001215,6.924046455,14.52801542,19.86421881,18.6021129,9.035905356,1.331404394,6.282463081,31.95097675,41.50218198,25.38732038,19.90585701,20.51228148,23.38302067,7.618421388,1.331404394,66.31001215,10.0964895,23.78787192,33.21017338,10.31942273,14.83510407,16.73463894,14.36176865,4.909595087,17.48464144,33.21017338,33.07594487
2003-10-31,11.85489262,15.51177992,371.4348121,18.78394772,371.4348121,18.88798042,27.65770356,67.17332602,7.979105187,14.51833413,19.7228885,18.10289484,8.743115895,1.470842016,6.518330993,33.33833097,43.87488891,25.37344753,19.90046101,20.64030929,24.68978871,8.649480631,1.470842016,67.17332602,9.94243997,25.44817598,33.7533931,10.48736195,15.546603,18.78394772,15.51177992,5.252249488,18.18678965,33.7533931,37.04438133
2003-11-30,12.33231598,15.61845842,368.5354264,19.15730357,368.5354264,19.3820634,27.70587726,68.09080277,7.775246381,15.07915271,19.91227787,17.89072717,9.244154055,1.343613218,6.582746002,33.54747984,41.41134553,25.28639499,20.3483293,22.28826449,24.34591978,9.412460373,1.343613218,68.09080277,9.773818187,26.41012259,33.21487765,10.53459219,15.19495364,19.15730357,15.61845842,5.24662095,19.4100335,33.21487765,40.73358879
2003-12-31,14.29695235,17.04595193,380.3680544,19.53781222,380.3680544,19.90946649,30.41223412,69.70019439,8.215152225,16.52799513,21.25129209,19.45763105,9.619932675,1.373171424,7.356402067,32.61261558,39.55214746,28.63928714,21.54449665,22.48575544,25.26061112,11.40904288,1.373171424,69.70019439,10.88305237,28.8306164,34.80487991,11.42521954,16.23139384,19.53781222,17.04595193,5.241212062,20.42765813,34.80487991,41.17307867
2004-01-31,14.90958217,16.53877188,390.8685322,20.09890669,390.8685322,19.40910971,30.13077301,74.62613606,8.508422788,16.21014907,21.65645506,21.12201847,9.409648478,1.449637217,7.220789941,33.06032201,40.14859831,28.49259811,21.38045226,23.52963618,26.99445044,10.43451436,1.449637217,74.62613606,12.62015496,27.25285139,35.99064431,12.64645855,17.23459355,20.09890669,16.53877188,5.679331956,21.17931269,35.99064431,35.28637024
2004-02-29,15.0280465,16.78060608,397.0301623,22.21766644,397.0301623,19.54162658,31.41951877,72.69039453,8.122163998,16.07723163,22.11147958,20.54989737,9.597841447,1.537026694,7.870464755,36.30619366,44.40576631,29.6373584,22.12412016,23.96770568,28.47293282,9.867577199,1.537026694,72.69039453,13.37778284,26.42267365,36.48042364,12.70789673,17.92191999,22.21766644,16.78060608,5.712893444,21.28530516,36.48042364,36.80251529
2004-03-31,15.67887831,16.98247059,408.4054793,21.13768586,408.4054793,19.30992115,29.75327729,69.18016408,8.198759109,14.16437625,22.07643762,19.28606604,9.979313683,1.737508437,7.541222206,37.78567531,44.60183867,29.22973052,22.7830318,26.69871005,29.11846737,9.738401643,1.737508437,69.18016408,12.77045957,27.58073671,34.32177865,12.91786916,17.08497147,21.13768586,16.98247059,6.242674194,20.35606946,34.32177865,39.54114031
2004-04-30,16.07042467,17.07362898,383.042754,19.47982815,383.042754,19.23836507,30.92689086,66.41566929,7.071609214,14.67296095,20.62970509,18.92587411,9.281024982,1.656544656,7.516585008,38.23475298,42.59180439,29.90442495,21.60374,21.65949279,26.31270047,11.09409679,1.656544656,66.41566929,12.52253028,27.23261146,36.56162658,10.90943721,17.82664255,19.47982815,17.07362898,5.893128132,20.7684178,36.56162658,31.71431798
2004-05-31,15.04899938,17.33697544,369.8206502,19.85200029,369.8206502,20.19494252,33.33291256,66.86798322,7.624415213,14.77233957,19.93833341,19.66521544,10.30995199,1.803050545,7.52371024,37.44886707,41.7416529,30.58904281,22.26259316,23.37256681,25.78084802,10.72573811,1.803050545,66.86798322,12.20316374,26.39878134,37.89553429,11.16062745,16.33400369,19.85200029,17.33697544,5.976767878,20.62220174,37.89553429,33.73674174
2004-06-30,16.58292427,17.12617027,370.3782088,21.56060875,370.3782088,19.65572382,37.18293674,66.53586997,7.60222556,14.48589531,20.19226022,20.59714574,10.22722419,2.090921766,8.539208023,37.96598493,39.51712914,31.40946569,22.73320395,24.88047435,27.13147333,11.30355565,2.090921766,66.53586997,12.77026529,27.83170789,37.888732,11.16527191,17.09449374,21.56060875,17.12617027,6.340667029,20.0036524,37.888732,32.92964265
2004-07-31,16.87751867,14.88022639,354.3546411,19.53057889,354.3546411,19.71754507,36.93548717,65.72068291,7.259945263,13.53987766,20.80676311,21.13750296,10.17474997,2.078070372,8.500844773,35.23198305,39.70437861,32.74618918,22.52572281,24.64848857,26.35645072,10.70183514,2.078070372,65.72068291,13.39907214,25.88280055,37.59623371,11.59256185,18.39883527,19.53057889,14.88022639,6.401316888,18.64984629,37.59623371,34.38242101
2004-08-31,17.69279154,15.16860287,374.3669581,18.9892376,374.3669581,20.34688693,38.15834324,64.06208596,6.445678449,14.03062432,21.72915491,20.84507435,11.1402755,2.216222855,8.242358172,35.23198305,39.54388869,32.79980186,23.17059662,27.00895875,27.94503936,10.25834876,2.216222855,64.06208596,12.3630179,25.60456661,39.72408155,11.97198195,18.73778631,18.9892376,15.16860287,6.08659046,19.16616918,39.72408155,37.7127667
2004-09-30,19.25965249,13.66698817,354.5957533,19.07382217,354.5957533,20.65165732,37.71990957,64.85633782,6.784572632,14.15938342,21.64676949,21.47504028,10.40563651,2.489957542,9.380880765,34.43936267,39.94180517,34.38643002,23.95461971,27.29666287,28.05094527,10.21472715,2.489957542,64.85633782,14.27871351,28.3340768,38.51389869,12.27895584,18.79984777,19.07382217,13.66698817,5.763901021,17.95178381,38.51389869,38.74605668
2004-10-31,19.22521721,13.87514954,359.827842,21.33223039,359.827842,20.68282702,36.4630664,67.88962351,6.752006683,14.01581553,22.37279102,21.82038042,11.22514672,3.367065166,8.660498206,35.0977102,40.48237095,35.0196583,24.24986508,28.6882114,27.48617058,9.545144268,3.367065166,67.88962351,15.69853216,28.51675406,39.91552291,13.14320543,18.83942858,21.33223039,13.87514954,5.847355186,16.98379547,39.91552291,40.43954784
2004-11-30,20.7334825,13.49891723,362.9095319,22.73633437,362.9095319,21.56309448,39.2939137,71.42342191,7.236877474,14.0576895,22.86472176,22.61338369,12.24222595,4.30842976,9.030879949,35.33131739,39.08590935,36.66364882,24.91416717,30.86143645,26.80969747,10.38757834,4.30842976,71.42342191,17.57870695,32.41505878,41.43462577,12.86068383,19.8657197,22.73633437,13.49891723,6.265230753,16.39048538,41.43462577,40.37676126
2004-12-31,20.19737078,14.29903112,390.7258379,23.72199347,390.7258379,21.69574748,37.973603,74.71265844,7.617191117,15.32587255,22.81257872,23.48183074,13.20605496,4.138148792,8.611850783,37.11876425,39.75372221,36.67080271,24.7739188,32.8792996,27.77812213,10.72455196,4.138148792,74.71265844,16.68170401,34.52531274,43.5640578,13.27291596,19.51880439,23.72199347,14.29903112,6.343826838,15.87108937,43.5640578,37.86973532
2005-01-31,20.20429243,14.24752164,397.7812858,24.43024004,397.7812858,21.39902366,37.11540103,70.80195325,7.115916738,14.180172,22.87515037,23.24379574,11.98586417,4.941360903,8.868305792,38.1853954,39.43761916,36.91403472,25.16451154,29.31836463,26.81713154,9.719968886,4.941360903,70.80195325,17.48518058,31.68737583,44.44330715,12.4436583,17.31514599,24.43024004,14.24752164,6.315756808,14.2597813,44.44330715,35.46503698
2005-02-28,24.31921255,14.69737108,390.4598262,23.84145675,390.4598262,20.892479,40.5070786,70.2995004,7.555439926,15.14205227,22.57946137,22.78563244,11.92113403,5.765135243,10.91157348,38.29916939,38.84304436,45.51046105,25.40001599,30.59989886,26.25679501,9.336188793,5.765135243,70.2995004,18.69252103,33.80342393,45.25436022,12.27448826,17.50002251,23.84145675,14.69737108,6.780933811,15.63464921,45.25436022,38.37284597
2005-03-31,24.73484051,14.40365065,367.7130048,24.51557095,367.7130048,21.04025336,43.07883964,69.38829495,8.001098672,15.57104055,22.27840188,23.34232687,11.2576501,5.355175782,10.81476611,37.87270219,37.82431559,42.84352359,26.41847629,28.57790554,24.85595369,8.361977789,5.355175782,69.38829495,18.44007076,32.51956953,46.33053098,11.4318349,17.27135944,24.51557095,14.40365065,6.86370875,15.62275522,46.33053098,36.10962723
2005-04-30,23.98066595,15.01546879,387.9015037,22.52736071,387.9015037,21.08951148,43.85994758,57.99822684,7.465017767,15.90129829,22.85939387,23.43295154,12.11790272,4.634212592,10.7340933,39.73669903,35.58248328,40.99607635,26.69149045,31.58989558,25.75200159,6.797093628,4.634212592,57.99822684,17.73231313,31.45713302,47.34461497,12.48880472,17.61596321,22.52736071,15.01546879,6.755304372,16.15798475,47.34461497,32.45165789
2005-05-31,25.40907953,15.42680414,389.1405417,23.41480219,389.1405417,21.42303924,47.2824433,57.52042917,8.208966778,15.50988171,24.33808424,23.61420089,12.610278,5.109624201,11.24665155,40.17948756,35.76280857,40.60393048,27.61509154,33.84880868,25.94066094,7.446212339,5.109624201,57.52042917,18.27592215,33.62215546,46.51679131,13.46672461,17.40929549,23.41480219,15.42680414,6.994935101,16.7061299,46.51679131,31.9124227
2005-06-30,26.84916584,14.52400281,381.8715186,21.48632359,381.8715186,21.83795326,48.83632642,56.49259887,8.60235808,15.44716055,25.04934884,22.57197605,13.15736164,4.730598045,12.37850677,38.69595755,36.49729775,41.52149261,27.46569303,34.66699832,25.6286474,7.640201839,4.730598045,56.49259887,20.44816559,34.05087278,45.06097519,13.39243227,17.0008807,21.48632359,14.52400281,7.579163948,16.51451837,45.06097519,33.4463442
2005-07-31,28.71635727,15.22324222,362.9257063,21.87884578,362.9257063,21.75284269,48.84372586,63.54275339,9.008509397,15.44716055,25.75526559,22.47426186,14.09376787,5.481119441,13.53587512,39.12647071,37.3680839,42.44627964,27.60076058,37.39429714,25.7453084,8.087869915,5.481119441,63.54275339,23.967371,38.70126701,44.33999958,13.79856372,17.04160624,21.87884578,15.22324222,7.883248497,15.86782947,44.33999958,32.17807391
2005-08-31,28.97811308,15.3067335,365.1783486,21.49485668,365.1783486,21.32238239,49.77902852,61.52776906,10.15744195,15.13178617,25.3910278,21.89449105,13.11357262,6.026018536,14.99495038,39.35607772,34.15234964,43.48666505,26.8784428,35.69344716,24.82949635,7.50801332,6.026018536,61.52776906,26.56508338,39.83552785,44.17297283,13.66048973,16.28486532,21.49485668,15.3067335,8.152908381,15.366914,44.17297283,33.91766086
2005-09-30,29.92589707,15.12130835,379.7788081,20.59034901,379.7788081,20.9468624,50.46978496,61.22249608,10.71515377,14.87824991,26.27871242,22.07848324,13.12464827,6.889632197,16.07218052,40.88146335,33.28638704,46.12926039,27.23228528,35.15495525,24.85880233,7.425176663,6.889632197,61.22249608,29.35870183,42.17583819,44.09631993,13.56998962,16.2749082,20.59034901,15.12130835,8.572512576,15.05933448,44.09631993,40.52112293
2005-10-31,27.63144985,14.97776271,381.9480192,20.7951432,381.9480192,21.52981247,48.01128624,62.48937894,10.28948327,13.2493294,24.62783553,22.23585882,12.42945423,7.401117669,14.02730858,42.58996393,35.93744799,40.75695118,25.65274147,34.06573296,27.10112017,6.343586458,7.401117669,62.48937894,25.32252303,37.92834509,43.63640256,12.79571085,15.88971184,20.7951432,14.97776271,7.632822227,13.11133086,43.63640256,36.59529016
2005-11-30,27.77857471,15.04346409,408.9798188,21.27299631,408.9798188,22.6735676,50.84281489,68.01011136,10.88762371,13.51218809,24.96240859,23.42273303,12.57548488,8.715815251,13.90269175,42.67647029,36.88696839,42.3420265,25.91401939,35.87337024,28.30742344,6.198720902,8.715815251,68.01011136,27.32668015,41.67141622,43.25716541,13.42803499,16.12672119,21.27299631,15.04346409,7.656795198,12.8965336,43.25716541,39.70285231
2005-12-31,28.10370148,14.20477951,408.811341,20.67427988,408.811341,22.66635247,52.37130544,62.88448992,10.53403211,14.38212516,25.39544115,23.1456133,13.16522401,9.238866978,14.29662871,42.77695128,35.65774932,40.9848635,25.94664678,36.42954652,29.37311468,5.886116281,9.238866978,62.88448992,26.60111708,41.66420414,42.10130593,13.06511512,15.1887693,20.67427988,14.20477951,7.442497602,14.18618696,42.10130593,45.96991139
2006-01-31,34.37672348,14.58183518,392.3847571,21.83003854,392.3847571,22.49679675,50.93228751,62.19597361,11.47227108,14.43969101,25.76817803,21.62678561,14.44391165,9.704087432,18.02496062,41.40125379,35.13202609,45.78601005,25.35189845,39.82840158,29.66996564,6.617277094,9.704087432,62.19597361,34.1830365,49.16645875,40.30797244,14.184544,16.1716041,21.83003854,14.58183518,7.401954813,15.62183882,40.30797244,53.20113341
2006-02-28,32.20596938,14.78974439,394.8521661,24.14155586,394.8521661,23.35534203,54.42461847,61.5369976,12.07200815,14.63610629,25.46083119,21.86918295,15.2056134,8.80191959,16.63684588,42.79867282,34.5605878,43.5493143,26.01272993,40.2428727,30.70748142,6.146818,8.80191959,61.5369976,29.25865282,52.917302,40.61576138,14.26534577,17.21361523,24.14155586,14.78974439,7.601004259,16.07708753,40.61576138,45.5566987
2006-03-31,32.72661975,14.86215197,402.1752815,24.05530521,402.1752815,23.23529121,58.34792293,63.24721077,12.13427388,15.59283878,24.14532715,23.13995081,16.22311052,8.060394169,17.9494129,42.02479003,36.12602106,44.64226492,24.37464567,41.92121886,31.08068853,6.139105556,8.060394169,63.24721077,31.41862984,51.99769371,41.72186277,14.74830069,17.39749955,24.05530521,14.86215197,6.99151741,15.29748077,41.72186277,44.75789435
